,YRN-16 01,YRN-16 02,YRN-16 03,YRN-16 04,YRN-16 05,T(YRN) YRN-16-1908 1,T(YRN) YRN-16-1908 2,T(YRN) YRN-16-1908 3,T(YRN) YRN-16-1908 4,T(YRN) YRN-16-1908 5
12.76595745,45.90249492,37.01262092,35.64156034,55.13653243,34.17699285,39.40970767,45.59421604,29.81546034,44.9423307,43.26941847
12.85280069,46.23235327,37.2972987,35.9647449,55.45985339,34.48148004,39.58319509,45.88838547,30.08577587,45.28171689,43.58032507
12.93964394,46.56221163,37.58197648,36.28792945,55.78317435,34.78596723,39.75668252,46.1825549,30.3560914,45.62110307,43.89123167
13.02648719,46.89206999,37.86665427,36.61111401,56.10649531,35.09045442,39.93016994,46.47672433,30.62640693,45.96048925,44.20213828
13.11333044,47.22192834,38.15133205,36.93429856,56.42981627,35.39494161,40.10365737,46.77089376,30.89672246,46.29987544,44.51304488
13.20017369,47.5517867,38.43600984,37.25748312,56.75313723,35.6994288,40.27714479,47.06506319,31.16703799,46.63926162,44.82395149
13.28701693,47.88164505,38.72068762,37.58066767,57.07645819,36.00391599,40.45063221,47.35923262,31.43735352,46.9786478,45.13485809
13.37386018,48.21150341,39.00536541,37.90385223,57.39977915,36.30840317,40.62411964,47.65340206,31.70766905,47.31803399,45.4457647
13.46070343,48.54136177,39.29004319,38.22703678,57.72310011,36.61289036,40.79760706,47.94757149,31.97798458,47.65742017,45.7566713
13.54754668,48.87122012,39.57472098,38.55022134,58.04642107,36.91737755,40.97109449,48.24174092,32.24830011,47.99680635,46.06757791
13.63438993,49.20107848,39.85939876,38.87340589,58.36974203,37.22186474,41.14458191,48.53591035,32.51861564,48.33619254,46.37848451
13.72123317,49.53093683,40.14407654,39.19659045,58.69306299,37.52635193,41.31806934,48.83007978,32.78893117,48.67557872,46.68939112
13.80807642,49.86079519,40.42875433,39.519775,59.01638395,37.83083912,41.49155676,49.12424921,33.0592467,49.0149649,47.00029772
13.89491967,50.19065354,40.71343211,39.84295956,59.33970491,38.13532631,41.66504419,49.41841864,33.32956223,49.35435109,47.31120433
13.98176292,50.5205119,40.9981099,40.16614411,59.66302587,38.43981349,41.83853161,49.71258808,33.59987776,49.69373727,47.62211093
14.06860617,50.85037026,41.28278768,40.48932867,59.98634683,38.74430068,42.01201904,50.00675751,33.87019329,50.03312345,47.93301754
14.15544941,51.18022861,41.56746547,40.81251322,60.30966779,39.04878787,42.18550646,50.30092694,34.14050882,50.37250964,48.24392414
14.24229266,51.51008697,41.85214325,41.13569778,60.63298874,39.35327506,42.35899389,50.59509637,34.41082435,50.71189582,48.55483075
14.32913591,51.83994532,42.13682103,41.45888233,60.9563097,39.65776225,42.53248131,50.8892658,34.68113988,51.051282,48.86573735
14.41597916,52.16980368,42.42149882,41.78206689,61.27963066,39.96224944,42.70596874,51.18343523,34.95145541,51.39066819,49.17664396
14.50282241,52.49966204,42.7061766,42.10525144,61.60295162,40.26673663,42.87945616,51.47760467,35.22177094,51.73005437,49.48755056
14.58966565,52.82952039,42.99085439,42.428436,61.92627258,40.57122382,43.05294359,51.7717741,35.49208647,52.06944055,49.79845717
14.6765089,53.15937875,43.27553217,42.75162055,62.24959354,40.875711,43.22643101,52.06594353,35.762402,52.40882674,50.10936377
14.76335215,53.4892371,43.56020996,43.07480511,62.5729145,41.18019819,43.39991843,52.36011296,36.03271753,52.74821292,50.42027038
14.8501954,53.81909546,43.84488774,43.39798966,62.89623546,41.48468538,43.57340586,52.65428239,36.30303305,53.0875991,50.73117698
14.93703865,54.14895382,44.12956553,43.72117422,63.21955642,41.78917257,43.74689328,52.94845182,36.57334858,53.42698529,51.04208359
15.02388189,54.47881217,44.41424331,44.04435877,63.54287738,42.09365976,43.92038071,53.24262125,36.84366411,53.76637147,51.35299019
15.11072514,54.80867053,44.69892109,44.36754333,63.86619834,42.39814695,44.09386813,53.53679069,37.11397964,54.10575765,51.6638968
15.19756839,55.13852888,44.98359888,44.69072789,64.1895193,42.70263414,44.26735556,53.83096012,37.38429517,54.44514384,51.9748034
15.28441164,55.46838724,45.26827666,45.01391244,64.51284026,43.00712132,44.44084298,54.12512955,37.6546107,54.78453002,52.28571
15.37125488,55.7982456,45.55295445,45.337097,64.83616122,43.31160851,44.61433041,54.41929898,37.92492623,55.1239162,52.59661661
15.45809813,56.12810395,45.83763223,45.66028155,65.15948218,43.6160957,44.78781783,54.71346841,38.19524176,55.46330239,52.90752321
15.54494138,56.45796231,46.12231002,45.98346611,65.48280314,43.92058289,44.96130526,55.00763784,38.46555729,55.80268857,53.21842982
15.63178463,56.78782066,46.4069878,46.30665066,65.8061241,44.22507008,45.13479268,55.30180727,38.73587282,56.14207475,53.52933642
15.71862788,57.11767902,46.69166559,46.62983522,66.12944505,44.52955727,45.30828011,55.59597671,39.00618835,56.48146094,53.84024303
15.80547112,57.44753737,46.97634337,46.95301977,66.45276601,44.83404446,45.48176753,55.89014614,39.27650388,56.82084712,54.15114963
15.89231437,57.77739573,47.26102115,47.27620433,66.77608697,45.13853165,45.65525496,56.18431557,39.54681941,57.1602333,54.46205624
15.97915762,58.10725409,47.54569894,47.59938888,67.09940793,45.44301883,45.82874238,56.478485,39.81713494,57.49961949,54.77296284
16.06600087,58.43711244,47.83037672,47.92257344,67.42272889,45.74750602,46.00222981,56.77265443,40.08745047,57.83900567,55.08386945
16.15284412,58.7669708,48.11505451,48.24575799,67.74604985,46.05199321,46.17571723,57.06682386,40.357766,58.17839185,55.39477605
16.23968736,59.09682915,48.39973229,48.56894255,68.06937081,46.3564804,46.34920465,57.3609933,40.62808153,58.51777804,55.70568266
16.32653061,59.42668751,48.68441008,48.8921271,68.39269177,46.66096759,46.54327801,57.65516273,40.89839706,58.85716422,56.01658926
16.41337386,59.75654587,48.96908786,49.21531166,68.71601273,46.96545478,46.87832022,57.94933216,41.16871259,59.1965504,56.32749587
16.50021711,60.08640422,49.25376565,49.53849621,69.03933369,47.26994197,47.21336244,58.24350159,41.43902812,59.53593659,56.63840247
16.58706036,60.41626258,49.53844343,49.86168077,69.36265465,47.57442915,47.54840465,58.53767102,41.70934365,59.87532277,56.94930908
16.6739036,60.74612093,49.82312121,50.18486532,69.68597561,47.87891634,47.88344687,58.83184045,41.97965918,60.21470895,57.26021568
